annual_GHI_kWh_per_m2_yr,farm_size_ha,surplus_kWh_yr,npv_eur,npv_additive_eur,payback_yr
2096.610169491525,1.263848202934298,4874.930688883721,-5137.399265905991,-64616.48696977714,15.0
2122.0338983050847,1.263848202934298,4939.54008680008,-5137.399265905991,-64616.48696977714,15.0
2147.4576271186443,1.263848202934298,5004.149484716439,-5137.399265905991,-64616.48696977714,15.0
2172.8813559322034,1.263848202934298,5068.758882632796,-5137.399265905991,-64616.48696977714,15.0
2198.3050847457625,1.263848202934298,5133.3682805491535,-5137.399265905991,-64616.48696977714,15.0
2223.728813559322,1.263848202934298,5197.977678465512,-5137.399265905991,-64616.48696977714,15.0
2249.1525423728813,1.263848202934298,5262.587076381869,-5137.399265905991,-64616.48696977714,15.0
2274.576271186441,1.263848202934298,5327.196474298228,-5137.399265905991,-64616.48696977714,15.0
2300.0,1.263848202934298,5391.805872214586,-5137.399265905991,-64616.48696977714,15.0
800.0,1.4208308325339223,1577.9645214236757,-5114.825282769121,-64593.91298664028,15.0
825.4237288135594,1.4208308325339223,1642.573919340034,-5114.825282769121,-64593.91298664028,15.0
850.8474576271186,1.4208308325339223,1707.183317256392,-5114.825282769121,-64593.91298664028,15.0
876.271186440678,1.4208308325339223,1771.79271517275,-5114.825282769121,-64593.91298664028,15.0
901.6949152542372,1.4208308325339223,1836.4021130891078,-5114.825282769121,-64593.91298664028,15.0
927.1186440677966,1.4208308325339223,1901.0115110054662,-5114.825282769121,-64593.91298664028,15.0
952.542372881356,1.4208308325339223,1965.6209089218241,-5114.825282769121,-64593.91298664028,15.0
977.9661016949153,1.4208308325339223,2030.2303068381825,-5114.825282769121,-64593.91298664028,15.0
1003.3898305084746,1.4208308325339223,2094.8397047545404,-5114.825282769121,-64593.91298664028,15.0
1028.8135593220338,1.4208308325339223,2159.449102670898,-5114.825282769121,-64593.91298664028,15.0
1054.2372881355932,1.4208308325339223,2224.0585005872563,-5114.825282769121,-64593.91298664028,15.0
1079.6610169491526,1.4208308325339223,2288.6678985036147,-5114.825282769121,-64593.91298664028,15.0
1105.084745762712,1.4208308325339223,2353.2772964199726,-5114.825282769121,-64593.91298664028,15.0
1130.508474576271,1.4208308325339223,2417.88669433633,-5114.825282769121,-64593.91298664028,15.0
1155.9322033898306,1.4208308325339223,2482.496092252689,-5114.825282769121,-64593.91298664028,15.0
1181.3559322033898,1.4208308325339223,2547.1054901690463,-5114.825282769121,-64593.91298664028,15.0
1206.7796610169491,1.4208308325339223,2611.7148880854047,-5114.825282769121,-64593.91298664028,15.0
1232.2033898305085,1.4208308325339223,2676.3242860017626,-5114.825282769121,-64593.91298664028,15.0
