material,span_m,T_horiz_N,sag_m,mass_per_m_kg
dyneema_sk78_8mm_12strand,75.0,3406.779661016949,0.09310390433713595,0.046
dyneema_sk78_8mm_12strand,75.0,3822.0338983050847,0.08298836749583254,0.046
dyneema_sk78_8mm_12strand,75.0,4237.28813559322,0.07485548470339251,0.046
dyneema_sk78_8mm_12strand,75.0,4652.542372881356,0.0681743786423457,0.046
dyneema_sk78_8mm_12strand,75.0,5067.796610169491,0.06258817289989368,0.046
dyneema_sk78_8mm_12strand,75.0,5483.050847457627,0.057848102517295,0.046
dyneema_sk78_8mm_12strand,75.0,5898.3050847457625,0.053775457321274284,0.046
dyneema_sk78_8mm_12strand,75.0,6313.559322033898,0.05023854366584165,0.046
dyneema_sk78_8mm_12strand,75.0,6728.813559322034,0.04713817676649969,0.046
dyneema_sk78_8mm_12strand,75.0,7144.067796610169,0.044398232653992245,0.046
dyneema_sk78_8mm_12strand,75.0,7559.322033898305,0.0419593141911136,0.046
dyneema_sk78_8mm_12strand,75.0,7974.576271186441,0.039774396040670575,0.046
dyneema_sk78_8mm_12strand,75.0,8389.830508474577,0.03780576294993649,0.046
dyneema_sk78_8mm_12strand,75.0,8805.084745762711,0.03602281439348123,0.046
dyneema_sk78_8mm_12strand,75.0,9220.338983050848,0.03440046244609531,0.046
dyneema_sk78_8mm_12strand,75.0,9635.593220338982,0.03291794393627713,0.046
dyneema_sk78_8mm_12strand,75.0,10050.847457627118,0.03155792704682611,0.046
dyneema_sk78_8mm_12strand,75.0,10466.101694915254,0.03030583059618968,0.046
dyneema_sk78_8mm_12strand,75.0,10881.355932203389,0.02914929920470731,0.046
dyneema_sk78_8mm_12strand,75.0,11296.610169491525,0.02807779417309715,0.046
dyneema_sk78_8mm_12strand,75.0,11711.864406779661,0.027082271454634498,0.046
dyneema_sk78_8mm_12strand,75.0,12127.118644067796,0.0261549257255471,0.046
dyneema_sk78_8mm_12strand,75.0,12542.372881355932,0.025288985345356944,0.046
dyneema_sk78_8mm_12strand,75.0,12957.627118644068,0.024478546734890277,0.046
dyneema_sk78_8mm_12strand,75.0,13372.881355932202,0.02371843956284588,0.046
dyneema_sk78_8mm_12strand,75.0,13788.135593220339,0.023004116370970353,0.046
