site,panel_area_m2,battery_capacity_Wh,annual_grid_hours,annual_grid_kWh,annual_curtailed_kWh
Beauce_FR,27.11111111111111,2000.0,1168.0,978.7726948916753,1981.423312228545
Beauce_FR,27.11111111111111,4444.444444444444,1047.0,917.0088847442869,1915.4238075836645
Beauce_FR,27.11111111111111,6888.888888888889,1036.0,910.9648903732608,1909.8841724877889
Beauce_FR,27.11111111111111,9333.333333333332,1034.0,908.0315570399275,1907.7198206359367
Beauce_FR,27.11111111111111,11777.777777777777,1031.0,905.0982237065944,1905.5554687840847
Beauce_FR,27.11111111111111,14222.222222222223,1026.0,902.164890373261,1903.3911169322328
Beauce_FR,27.11111111111111,16666.666666666664,1021.0,899.2315570399276,1901.2267650803813
Beauce_FR,27.11111111111111,19111.11111111111,1017.0,896.2982237065943,1899.0624132285302
Beauce_FR,27.11111111111111,21555.555555555555,1013.0,893.3648903732612,1896.8980613766782
Beauce_FR,27.11111111111111,24000.0,1009.0,890.4315570399277,1894.7337095248265
Beauce_FR,30.0,2000.0,1058.0,868.4190305235533,2447.5667667432613
Beauce_FR,30.0,4444.444444444444,963.0,822.5896839159441,2398.8572615990097
Beauce_FR,30.0,6888.888888888889,955.0,817.5442725007226,2394.4011583562205
Beauce_FR,30.0,9333.333333333332,952.0,814.6109391673893,2392.2368065043684
Beauce_FR,30.0,11777.777777777777,948.0,811.677605834056,2390.072454652516
Beauce_FR,30.0,14222.222222222223,945.0,808.7442725007227,2387.9081028006644
Beauce_FR,30.0,16666.666666666664,941.0,805.8109391673894,2385.7437509488127
Beauce_FR,30.0,19111.11111111111,937.0,802.877605834056,2383.5793990969614
Beauce_FR,30.0,21555.555555555555,934.0,799.9442725007227,2381.41504724511
Beauce_FR,30.0,24000.0,931.0,797.0109391673894,2379.250695393258
